time,edge,vehicles,speed,waiting,halting,ns_green,ew_green,tls_mode
106,E2C,13,3.7731,158.0,9,35,25,adaptive
106,W2C,13,3.9656,157.0,9,35,25,adaptive
107,N2C,16,3.6007,60.0,5,35,25,adaptive
107,S2C,18,3.5055,90.0,7,35,25,adaptive
107,E2C,13,3.5046,167.0,9,35,25,adaptive
107,W2C,13,3.5781,166.0,9,35,25,adaptive
108,N2C,15,3.9312,27.0,3,35,25,adaptive
108,S2C,16,3.7482,48.0,5,35,25,adaptive
108,E2C,13,3.3511,176.0,9,35,25,adaptive
108,W2C,13,3.2326,175.0,9,35,25,adaptive
109,N2C,16,5.2153,6.0,2,35,25,adaptive
109,S2C,17,4.8491,34.0,4,35,25,adaptive
109,E2C,14,3.8069,185.0,9,35,25,adaptive
109,W2C,14,3.8814,184.0,9,35,25,adaptive
110,N2C,14,5.4177,6.0,1,35,25,adaptive
110,S2C,15,5.0752,11.0,2,35,25,adaptive
110,E2C,14,3.6594,195.0,10,35,25,adaptive
110,W2C,14,3.6335,194.0,10,35,25,adaptive
111,N2C,13,5.6691,0.0,0,35,25,adaptive
111,S2C,15,5.6602,0.0,0,35,25,adaptive
111,E2C,14,3.4508,205.0,10,35,25,adaptive
111,W2C,14,3.4423,204.0,10,35,25,adaptive
112,N2C,12,6.6489,0.0,0,35,25,adaptive
112,S2C,13,5.8113,0.0,0,35,25,adaptive
112,E2C,14,3.1448,215.0,10,35,25,adaptive
112,W2C,14,3.0988,214.0,10,35,25,adaptive
113,N2C,11,7.1304,0.0,0,35,25,adaptive
113,S2C,13,6.7956,0.0,0,35,25,adaptive
113,E2C,14,2.983,225.0,10,35,25,adaptive
113,W2C,14,2.7491,224.0,10,35,25,adaptive
114,N2C,11,8.3622,0.0,0,35,25,adaptive
114,S2C,12,7.6988,0.0,0,35,25,adaptive
114,E2C,15,3.4529,235.0,10,35,25,adaptive
114,W2C,15,3.4528,234.0,10,35,25,adaptive
115,N2C,10,8.9435,0.0,0,35,25,adaptive
115,S2C,11,8.4766,0.0,0,35,25,adaptive
115,E2C,15,3.1459,246.0,11,35,25,adaptive
115,W2C,15,3.3934,245.0,11,35,25,adaptive
116,N2C,9,9.8469,0.0,0,35,25,adaptive
116,S2C,10,9.3913,0.0,0,35,25,adaptive
116,E2C,15,2.9046,257.0,11,35,25,adaptive
116,W2C,15,3.3599,256.0,11,35,25,adaptive
117,N2C,7,10.7502,0.0,0,35,25,adaptive
117,S2C,8,10.1618,0.0,0,35,25,adaptive
117,E2C,15,2.7502,268.0,11,35,25,adaptive
117,W2C,15,3.1584,267.0,11,35,25,adaptive
118,N2C,8,11.66,0.0,0,35,25,adaptive
118,S2C,9,11.3409,0.0,0,35,25,adaptive
118,E2C,16,3.3501,280.0,12,35,25,adaptive
118,W2C,16,3.4322,278.0,11,35,25,adaptive
119,N2C,6,11.934,0.0,0,35,25,adaptive
119,S2C,7,11.8388,0.0,0,35,25,adaptive
119,E2C,16,3.1729,292.0,12,35,25,adaptive
119,W2C,16,3.0246,289.0,11,35,25,adaptive
120,N2C,6,12.1515,0.0,0,35,25,adaptive
120,S2C,7,12.1865,0.0,0,35,25,adaptive
120,E2C,16,2.9012,304.0,12,35,25,adaptive
120,W2C,16,2.7689,300.0,11,35,25,adaptive
121,N2C,4,12.0411,0.0,0,35,25,adaptive
121,S2C,5,12.5748,0.0,0,35,25,adaptive
121,E2C,16,2.6401,316.0,12,35,25,adaptive
121,W2C,16,2.5926,312.0,12,35,25,adaptive
122,N2C,4,12.7958,0.0,0,35,25,adaptive
122,S2C,5,12.4435,0.0,0,35,25,adaptive
122,E2C,16,2.4496,328.0,12,35,25,adaptive
122,W2C,16,2.3895,324.0,12,35,25,adaptive
123,N2C,5,12.8104,0.0,0,35,25,adaptive
123,S2C,5,12.5935,0.0,0,35,25,adaptive
123,E2C,17,2.9522,341.0,13,35,25,adaptive
123,W2C,17,2.946,337.0,13,35,25,adaptive
124,N2C,5,12.514,0.0,0,35,25,adaptive
124,S2C,5,12.8094,0.0,0,35,25,adaptive
124,E2C,17,2.6461,354.0,13,35,25,adaptive
