time,edge,vehicles,speed,waiting,halting,traveltime,blocked,incident_active
65,E2C,3,13.4051,0.0,0,17.87,0,0
65,W2C,3,12.8239,0.0,0,18.68,0,0
66,N2C,9,3.4337,104.0,6,69.78,0,0
66,S2C,9,3.4982,102.0,6,68.49,0,0
66,E2C,3,12.8305,0.0,0,18.67,0,0
66,W2C,3,12.5922,0.0,0,19.03,0,0
67,N2C,8,5.0346,48.0,4,47.59,0,0
67,S2C,8,5.2061,47.0,4,46.02,0,0
67,E2C,4,11.7144,0.0,0,20.45,0,0
67,W2C,4,11.015,0.0,0,21.75,0,0
68,N2C,8,5.3199,14.0,2,45.04,0,0
68,S2C,8,5.4372,14.0,2,44.07,0,0
68,E2C,4,11.0011,0.0,0,21.78,0,0
68,W2C,4,9.9119,0.0,0,24.17,0,0
69,N2C,8,6.1015,1.0,1,39.27,0,0
69,S2C,8,6.1874,0.0,0,38.72,0,0
69,E2C,4,9.9186,0.0,0,24.16,0,0
69,W2C,4,9.5178,0.0,0,25.17,0,0
70,N2C,6,7.8232,0.0,0,30.63,0,0
70,S2C,6,7.4826,0.0,0,32.02,0,0
70,E2C,4,10.1483,0.0,0,23.61,0,0
70,W2C,4,9.1353,0.0,0,26.23,0,0
71,N2C,6,8.3026,0.0,0,28.86,0,0
71,S2C,6,7.9209,0.0,0,30.25,0,0
71,E2C,4,9.965,1.0,1,24.04,0,0
71,W2C,4,9.3556,1.0,1,25.61,0,0
72,N2C,5,9.087,0.0,0,26.37,0,0
72,S2C,5,9.0047,0.0,0,26.61,0,0
72,E2C,4,9.4927,2.0,1,25.24,0,0
72,W2C,4,9.5847,2.0,1,25.0,0,0
73,N2C,5,10.4023,0.0,0,23.03,0,0
73,S2C,5,10.3692,0.0,0,23.11,0,0
73,E2C,5,9.3888,3.0,1,25.52,0,0
73,W2C,5,10.1685,3.0,1,23.56,0,0
74,N2C,5,10.7104,0.0,0,22.37,0,0
74,S2C,4,11.1951,0.0,0,21.4,0,0
74,E2C,5,8.2609,4.0,1,29.0,0,0
74,W2C,5,9.8608,4.0,1,24.3,0,0
75,N2C,3,12.3709,0.0,0,19.37,0,0
75,S2C,3,12.2806,0.0,0,19.51,0,0
75,E2C,5,7.5375,5.0,1,31.79,0,0
75,W2C,5,8.654,5.0,1,27.69,0,0
76,N2C,3,12.7182,0.0,0,18.84,0,0
76,S2C,3,12.8108,0.0,0,18.7,0,0
76,E2C,5,7.5592,6.0,1,31.7,0,0
76,W2C,5,8.4457,6.0,1,28.37,0,0
77,N2C,3,12.4849,0.0,0,19.19,0,0
77,S2C,3,12.2988,0.0,0,19.48,0,0
77,E2C,5,7.4706,8.0,2,32.07,0,0
77,W2C,5,7.9671,7.0,1,30.07,0,0
78,N2C,3,12.6058,0.0,0,19.01,0,0
78,S2C,3,12.3755,0.0,0,19.36,0,0
